GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type
ENSG00000000003.15	532.138529253015	-0.270398033812435	0.601882110436912	-0.449254146490831	0.653248331388372	0.999911678073694	TSPAN6	protein_coding
ENSG00000000419.13	471.872177227435	-0.560620398191044	0.630504130545603	-0.889162133967171	0.373915949998444	0.999911678073694	DPM1	protein_coding
ENSG00000000457.14	224.100254244827	-0.666181554058567	0.58541923124633	-1.13795638834805	0.255138693517599	0.999911678073694	SCYL3	protein_coding
ENSG00000000460.17	204.709286379759	-1.53991111585262	0.562407729007028	-2.73806890700354	0.00618011254120396	0.153596280801911	C1orf112	protein_coding
ENSG00000000971.16	470.854409450937	-0.778924462364708	0.673147981750391	-1.15713703893053	0.247216376125316	0.999911678073694	CFH	protein_coding
ENSG00000001036.14	2043.88324848336	-0.293248392171286	0.502634290604666	-0.583422973029774	0.559608596452378	0.999911678073694	FUCA2	protein_coding
ENSG00000001084.13	1149.65808991331	-0.584590206115441	0.581956380141531	-1.00452581338359	0.31512523544223	0.999911678073694	GCLC	protein_coding
ENSG00000001167.14	1169.39365972851	-0.350296333632279	0.484992069004377	-0.722272292723034	0.470127084242832	0.999911678073694	NFYA	protein_coding
ENSG00000001460.18	314.170871219358	0.511568384679954	0.527955172767185	0.968961781354766	0.332564258295666	0.999911678073694	STPG1	protein_coding
ENSG00000001461.17	4802.43051018849	1.00258445747491	0.486309600063352	2.06161765538723	0.0392441517900755	0.529236235719443	NIPAL3	protein_coding
ENSG00000001497.17	1157.99970083044	-0.0927247929429741	0.495328391656976	-0.187198623185702	0.851504904296755	0.999911678073694	LAS1L	protein_coding
ENSG00000001561.7	45.1110283183267	3.10156587345672	0.818043007077381	3.79144598343023	0.000149772725866307	0.0115951576058468	ENPP4	protein_coding
ENSG00000001617.12	2503.86439947519	0.151235153378836	0.683259942747561	0.221343509134577	0.82482497462265	0.999911678073694	SEMA3F	protein_coding
ENSG00000001629.10	1659.96048354743	-0.24865313724108	0.519108661330292	-0.479000170414937	0.631938507419606	0.999911678073694	ANKIB1	protein_coding
ENSG00000001630.17	917.572792436585	-0.839470214617168	0.586149398678266	-1.43217789954255	0.152092914935571	0.982415415718365	CYP51A1	protein_coding
ENSG00000001631.16	500.547486757919	-0.200897389291917	0.592768744289081	-0.338913600333056	0.734674818580522	0.999911678073694	KRIT1	protein_coding
ENSG00000002016.18	282.818612680055	0.175390029468327	0.530221489254766	0.330786346880887	0.740805874497308	0.999911678073694	RAD52	protein_coding
ENSG00000002330.14	596.089097650001	0.31611369866153	0.524298403695752	0.602927066787275	0.546557208929078	0.999911678073694	BAD	protein_coding
ENSG00000002549.12	1735.92027060406	0.571054418633702	0.502286554513295	1.13690962559617	0.255576067806683	0.999911678073694	LAP3	protein_coding
ENSG00000002586.20	6676.6944472052	0.321582256100085	0.475202309119741	0.676727048519146	0.498579151523957	0.999911678073694	CD99	protein_coding
ENSG00000002586.20_PAR_Y	6676.20604488225	0.321418847037792	0.475197089040869	0.676390606025258	0.498792679948761	0.999911678073694	CD99	protein_coding
ENSG00000002745.13	1327.94260239337	3.69650887260675	0.587152773828532	6.29565087209526	3.06112656478245e-10	2.83895322094903e-07	WNT16	protein_coding
ENSG00000002746.15	68.1814874181844	0.792787585401344	0.652821558196332	1.21440166221183	0.224594380995368	0.999911678073694	HECW1	protein_coding
ENSG00000002822.15	1178.80680383015	-0.31954247192978	0.5727116541555	-0.557946515687665	0.57688090672293	0.999911678073694	MAD1L1	protein_coding
ENSG00000002834.18	17678.1652408139	-0.288716174222886	0.494718618169373	-0.583596742914658	0.559491652042502	0.999911678073694	LASP1	protein_coding
ENSG00000002919.15	542.262197416241	0.132070717957794	0.503610653867933	0.262247664824875	0.793130507674596	0.999911678073694	SNX11	protein_coding
ENSG00000002933.9	396.875758371288	-2.03114372081239	0.541659207359177	-3.74985543163772	0.000176936546401644	0.0128834664634024	TMEM176A	protein_coding
ENSG00000003056.8	2766.30632278873	-0.088887506874403	0.483550037859571	-0.183822768927622	0.854152493484536	0.999911678073694	M6PR	protein_coding
ENSG00000003096.14	184.781003212424	-1.86087327336992	0.621595851713863	-2.99370285087831	0.0027561422682242	0.0858056235130366	KLHL13	protein_coding
