GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type
ENSG00000000003.15	713.434909398137	0.0928741680639208	0.369975228949225	0.251028071062203	0.801792406332595	0.893586867112827	TSPAN6	protein_coding
ENSG00000000419.13	1071.43038234802	0.125448082959982	0.308943134976032	0.406055577087721	0.684701764971067	0.817407097999187	DPM1	protein_coding
ENSG00000000457.14	982.918701174784	0.261289669254256	0.257628741247312	1.0142100915807	0.310482514263281	0.481094704480057	SCYL3	protein_coding
ENSG00000000460.17	596.611163195472	-0.559850018894783	0.287626643750276	-1.9464470036401	0.0516010680947218	0.120429622120121	C1orf112	protein_coding
ENSG00000000971.16	879.035726426422	-1.69425725117334	0.382718613724182	-4.42690057503805	9.55967684624209e-06	5.85114174704842e-05	CFH	protein_coding
ENSG00000001036.14	2984.1408605299	-0.819453862124647	0.295466826828365	-2.77342086392887	0.00554703300065252	0.0180887268979956	FUCA2	protein_coding
ENSG00000001084.13	2412.31204207938	-0.987090359140207	0.247195516134537	-3.99315640742844	6.51995301222024e-05	0.000338185318242929	GCLC	protein_coding
ENSG00000001167.14	2006.54406600251	1.42600615322414	0.27384867372598	5.20727792405172	1.91630967842345e-07	1.54733945657512e-06	NFYA	protein_coding
ENSG00000001460.18	559.059633895196	-3.25416820965843	0.329962730784238	-9.86222959763999	6.06865877439592e-23	2.23095455896841e-21	STPG1	protein_coding
ENSG00000001461.17	5500.82677987433	-3.56903219121365	0.36302975214161	-9.83123881764228	8.25964085135231e-23	2.98692836978843e-21	NIPAL3	protein_coding
ENSG00000001497.17	903.460938717027	-0.484665171550183	0.296892736136005	-1.63245883970755	0.102582862576869	0.208907134753398	LAS1L	protein_coding
ENSG00000001617.12	629.393693954524	-0.0417238150613442	0.304721118811675	-0.136924592637541	0.891090399799425	0.943820158604068	SEMA3F	protein_coding
ENSG00000001629.10	4879.66518174584	0.150998237243958	0.239514875156069	0.630433651127375	0.528410899824761	0.697643860560435	ANKIB1	protein_coding
ENSG00000001630.17	3651.26336553739	-0.0925925401084932	0.254264826375866	-0.364157879909109	0.715740117659865	0.83902300978204	CYP51A1	protein_coding
ENSG00000001631.16	2002.49301938101	-0.54457115873509	0.230732343533146	-2.36018561765641	0.0182657930667383	0.0505775093200312	KRIT1	protein_coding
ENSG00000002016.18	765.625348897826	-0.402184281124728	0.277937826764062	-1.4470296677758	0.147888614528545	0.27769778337234	RAD52	protein_coding
ENSG00000002330.14	1562.45880379608	0.172160325644658	0.43291936258233	0.397672962968751	0.690871269674987	0.821916935634778	BAD	protein_coding
ENSG00000002549.12	3674.7931272202	1.89857735847623	0.229852560193383	8.25997916611798	1.45697895652509e-16	3.22168348095386e-15	LAP3	protein_coding
ENSG00000002586.20	10237.6028757023	-0.403118296557523	0.229351531500892	-1.75764379648782	0.0788081364193107	0.170171138302478	CD99	protein_coding
ENSG00000002586.20_PAR_Y	10236.1188013069	-0.40292774959224	0.229394117295965	-1.75648684605273	0.0790053155048165	0.17047252182568	CD99	protein_coding
ENSG00000002745.13	1887.8172046628	-3.40989206706442	0.370446877021657	-9.20480716285018	3.42285259075768e-20	1.02144824540325e-18	WNT16	protein_coding
ENSG00000002746.15	1850.02408617031	1.64677700799782	0.274447752745823	6.00032972222208	1.96917254364813e-09	2.09494473846712e-08	HECW1	protein_coding
ENSG00000002822.15	1077.00140880913	-0.272052597650754	0.322039990614819	-0.844778926776664	0.398234282537921	0.574522018636585	MAD1L1	protein_coding
ENSG00000002834.18	19864.4534779664	-0.240401816919895	0.321795225424182	-0.747064586191433	0.45502457569064	0.631747311436625	LASP1	protein_coding
