GeneID	Length	logFC	logCPM	LR	PValue	FDR	gene_name	gene_type
ENSG00000000003.15	4536	0.428375000129074	5.45253646603059	12.3126675746061	0.000449894541826303	0.0015120222309933	TSPAN6	protein_coding
ENSG00000000419.13	1207	0.279990020811648	4.81624151451926	4.85981766370838	0.0274892411596173	0.0577897157718675	DPM1	protein_coding
ENSG00000000457.14	6883	-0.129379027558445	2.95701159480131	0.545193291868843	0.46028839115078	0.578471732755497	SCYL3	protein_coding
ENSG00000000460.17	5970	-0.658785069580798	3.29701181817919	15.5788156624011	7.91362780695937e-05	0.000308046733648241	C1orf112	protein_coding
ENSG00000000971.16	7980	0.791252814530325	5.39277100982191	41.3261866287695	1.2883139234404e-10	1.07271078147404e-09	CFH	protein_coding
ENSG00000001036.14	2822	0.322252375549295	5.38049288288501	6.95684281764245	0.00834992480659301	0.0206681825027246	FUCA2	protein_coding
ENSG00000001084.13	8618	-0.0126525112249672	4.38180253504028	0.00868996811504985	0.925728787084187	0.952399005596853	GCLC	protein_coding
ENSG00000001167.14	3811	-0.0157471816733909	4.21039759698781	0.012707347919644	0.910247095385321	0.941771078591897	NFYA	protein_coding
ENSG00000001460.18	8511	0.552213090602322	3.1626942799671	10.5269210504713	0.00117648053683799	0.00361452146271143	STPG1	protein_coding
ENSG00000001461.17	9396	1.09029951351412	4.92231866913588	73.0470183339957	1.2659770955821e-17	1.82550200899448e-16	NIPAL3	protein_coding
ENSG00000001497.17	5601	-0.27204943786627	5.34688268267024	4.93270058744982	0.0263531024725166	0.0557214534244424	LAS1L	protein_coding
ENSG00000001561.7	4644	0.306601821309982	3.09775447335911	3.21958848603618	0.0727619199017672	0.132175791049141	ENPP4	protein_coding
ENSG00000001617.12	4826	0.786409988540865	4.11956252449141	29.7779000320194	4.8448344790013e-08	3.06467195429621e-07	SEMA3F	protein_coding
ENSG00000001629.10	7389	0.170001778356217	6.2992650041355	1.99029403111544	0.158310139213372	0.251359652801813	ANKIB1	protein_coding
ENSG00000001630.17	3529	-0.617981590651431	5.97594361399726	25.9586160511041	3.48815139646778e-07	1.98526162020228e-06	CYP51A1	protein_coding
ENSG00000001631.16	6204	0.159615790839833	3.9043048986279	1.15876124213481	0.281722596111831	0.397190257364347	KRIT1	protein_coding
ENSG00000002016.18	4503	-0.218360886352423	2.84724869196752	1.49347003110615	0.221678844507038	0.329480518252403	RAD52	protein_coding
ENSG00000002330.14	1708	0.106012917474304	3.81882769863273	0.493293696861649	0.482461729057831	0.599624501889742	BAD	protein_coding
ENSG00000002549.12	3785	0.233095728696253	5.69835429828639	3.69146217326177	0.0546916516496963	0.103867869480845	LAP3	protein_coding
ENSG00000002586.20	4858	0.229516545854153	7.58690571289408	2.55978585831581	0.109613429988361	0.186051042319217	CD99	protein_coding
ENSG00000002586.20_PAR_Y	4858	0.229516545854153	7.58690571289408	2.55978585831581	0.109613429988361	0.186051042319217	CD99	protein_coding
ENSG00000002746.15	13935	0.6751549991478	3.10309285774601	15.2915364041275	9.21283677009336e-05	0.000355259789953532	HECW1	protein_coding
ENSG00000002822.15	7230	-0.118205536148825	4.45964369551759	0.775096682131057	0.378644956356989	0.498718306250126	MAD1L1	protein_coding
ENSG00000002834.18	7061	0.174485660398543	8.11851300154961	1.34347175446633	0.246422644088148	0.3579470098501	LASP1	protein_coding
ENSG00000002919.15	4133	0.396671257353148	4.12549849938426	7.74751500929173	0.00537865013215802	0.0140363584360346	SNX11	protein_coding
ENSG00000003056.8	3585	0.208674083881001	6.03701696983385	2.98406580234093	0.0840877969106541	0.149411263533906	M6PR	protein_coding
ENSG00000003096.14	6983	-0.86138249111715	2.16032636621079	17.5102981123904	2.85755688677173e-05	0.000119904495110823	KLHL13	protein_coding
