GeneID	Length	logFC	logCPM	LR	PValue	FDR	gene_name	gene_type
ENSG00000000003.15	4536	-0.0219459672958016	3.88865340222756	0.0342348912927442	0.853208069018166	0.893957564344747	TSPAN6	protein_coding
ENSG00000000419.13	1207	-0.170486961711814	4.99395744723539	2.89905303855481	0.0886316066441953	0.147795932531118	DPM1	protein_coding
ENSG00000000457.14	6883	0.0362721216669795	3.17869103001933	0.0809278650496368	0.776043912806486	0.835464848389577	SCYL3	protein_coding
ENSG00000000460.17	5970	-0.680183934398782	2.61241176824636	24.9626812967556	5.84508002284551e-07	2.94312933439951e-06	C1orf112	protein_coding
ENSG00000001036.14	2822	0.327380561198486	4.87337488488897	10.6619933569364	0.00109359472521752	0.00313892184795105	FUCA2	protein_coding
ENSG00000001084.13	8618	-0.480754907065051	6.78453714040047	21.7317084899173	3.13565342940764e-06	1.4175766545447e-05	GCLC	protein_coding
ENSG00000001167.14	3811	-0.194477094883215	4.61600085658218	3.64395746893426	0.0562730241624062	0.101326650258795	NFYA	protein_coding
ENSG00000001460.18	8511	0.0900954803733013	4.10748537643637	0.622744683520431	0.430029169403063	0.533955368158218	STPG1	protein_coding
ENSG00000001461.17	9396	-0.0527801147815689	6.06388003199584	0.27106103480337	0.602620907737119	0.691901769086307	NIPAL3	protein_coding
ENSG00000001497.17	5601	-0.222383650497101	4.94149160221132	4.92654239021663	0.0264471837985882	0.053305755080167	LAS1L	protein_coding
ENSG00000001617.12	4826	-0.30415290735878	7.39634938363981	8.39587891940882	0.0037607262943355	0.00957918841568047	SEMA3F	protein_coding
ENSG00000001629.10	7389	0.112019834687038	5.73826296191316	1.27107264040286	0.259565549719667	0.357664686405089	ANKIB1	protein_coding
ENSG00000001630.17	3529	0.143145655102733	7.5417898054446	1.84581318327918	0.174271132171507	0.25905731877665	CYP51A1	protein_coding
ENSG00000001631.16	6204	-0.368090523164178	4.35616335476893	11.506299982107	0.000693607045619726	0.00207724584280959	KRIT1	protein_coding
ENSG00000002016.18	4503	-0.716537424904446	1.83350070216319	20.3289441068107	6.52066898781524e-06	2.82384633660833e-05	RAD52	protein_coding
ENSG00000002079.14	6307	2.11582772652072	2.03892220282231	173.165180366024	1.50624587322335e-39	4.85312959259852e-38	MYH16	transcribed_unitary_pseudogene
ENSG00000002330.14	1708	-0.295605180283195	4.99568276349525	8.69980002517947	0.00318244961866618	0.0082461660310454	BAD	protein_coding
ENSG00000002549.12	3785	-0.327355619661761	5.20422051698038	10.7088443079492	0.00106624609787632	0.00306873737118097	LAP3	protein_coding
ENSG00000002586.20	4858	0.145977261667454	6.64460602752584	2.03053096017653	0.154166739550225	0.234182098847862	CD99	protein_coding
ENSG00000002586.20_PAR_Y	4858	0.145977261667454	6.64460602752584	2.03053096017653	0.154166739550225	0.234182098847862	CD99	protein_coding
ENSG00000002587.10	7435	2.85422014756516	3.76993809190377	455.737625662852	4.06880457879184e-101	6.84890086622616e-99	HS3ST1	protein_coding
ENSG00000002822.15	7230	0.159895071436761	4.78365503417533	2.54457495315423	0.11067369115434	0.177901130393313	MAD1L1	protein_coding
ENSG00000002834.18	7061	-0.223389927289308	7.99576968149779	4.37433595291515	0.0364840434724626	0.070054808846751	LASP1	protein_coding
ENSG00000002919.15	4133	-0.200584338899723	3.9157961866391	2.88307391179603	0.0895149920212558	0.148993732731711	SNX11	protein_coding
