GeneID	Length	logFC	logCPM	F	PValue	FDR	gene_name	gene_type
ENSG00000000003.15	4536	-0.0219459672958016	3.88865340222756	0.0790036528687476	0.782697570378841	0.825550749187362	TSPAN6	protein_coding
ENSG00000000419.13	1207	-0.170486961711814	4.99395744723539	5.90423498632173	0.0289016070355008	0.0504552529142586	DPM1	protein_coding
ENSG00000000457.14	6883	0.0362721216669795	3.17869103001933	0.214216736046132	0.650480418981878	0.712943639401363	SCYL3	protein_coding
ENSG00000000460.17	5970	-0.680183934398782	2.61241176824636	76.0631682456611	4.36939189024888e-07	4.16166670202394e-06	C1orf112	protein_coding
ENSG00000001036.14	2822	0.327380561198486	4.87337488488897	12.4536333759832	0.00326302978156092	0.0076305413393526	FUCA2	protein_coding
ENSG00000001084.13	8618	-0.480754907065051	6.78453714040047	8.48813184440281	0.0111801654194077	0.022265143671932	GCLC	protein_coding
ENSG00000001167.14	3811	-0.194477094883215	4.61600085658218	6.76207333777787	0.0207462009305579	0.0379196087842783	NFYA	protein_coding
ENSG00000001460.18	8511	0.0900954803733013	4.10748537643637	1.54811928906175	0.233517166789542	0.303914855917801	STPG1	protein_coding
ENSG00000001461.17	9396	-0.0527801147815689	6.06388003199584	0.569707148074071	0.462684318498868	0.537604493934786	NIPAL3	protein_coding
ENSG00000001497.17	5601	-0.222383650497101	4.94149160221132	26.6555434213817	0.000136732567921739	0.000501259979816494	LAS1L	protein_coding
ENSG00000001617.12	4826	-0.30415290735878	7.39634938363981	51.7485361387653	4.19954680140546e-06	2.68315138134494e-05	SEMA3F	protein_coding
ENSG00000001629.10	7389	0.112019834687038	5.73826296191316	2.85735448504612	0.11273380939182	0.16324558939991	ANKIB1	protein_coding
ENSG00000001630.17	3529	0.143145655102733	7.5417898054446	5.81346680564616	0.0299657429074383	0.0520355761189617	CYP51A1	protein_coding
ENSG00000001631.16	6204	-0.368090523164178	4.35616335476893	52.2345474570606	3.98245380049698e-06	2.57643589801548e-05	KRIT1	protein_coding
ENSG00000002016.18	4503	-0.716537424904446	1.83350070216319	33.812482820974	4.20221902348025e-05	0.0001840616897663	RAD52	protein_coding
ENSG00000002079.14	6307	2.11582772652072	2.03892220282231	114.571952640111	3.40833480469792e-08	5.40383082459632e-07	MYH16	transcribed_unitary_pseudogene
ENSG00000002330.14	1708	-0.295605180283195	4.99568276349525	17.8312736247095	0.000823436607049082	0.00233484205440192	BAD	protein_coding
ENSG00000002549.12	3785	-0.327355619661761	5.20422051698038	42.9326269641425	1.18694877619635e-05	6.35114054147137e-05	LAP3	protein_coding
ENSG00000002586.20	4858	0.145977261667454	6.64460602752584	2.30184706761597	0.151117561880252	0.209868024290633	CD99	protein_coding
ENSG00000002586.20_PAR_Y	4858	0.145977261667454	6.64460602752584	2.30184706761597	0.151117561880252	0.209868024290633	CD99	protein_coding
ENSG00000002587.10	7435	2.85422014756516	3.76993809190377	372.348569885806	1.32193177423475e-11	1.54605929777546e-09	HS3ST1	protein_coding
ENSG00000002822.15	7230	0.159895071436761	4.78365503417533	7.03966531288177	0.0187047363738967	0.0346453112741931	MAD1L1	protein_coding
ENSG00000002834.18	7061	-0.223389927289308	7.99576968149779	9.22401338219059	0.00873747281818129	0.0179094825228478	LASP1	protein_coding
ENSG00000002919.15	4133	-0.200584338899723	3.9157961866391	7.78066755617523	0.0143009408421098	0.027462868696795	SNX11	protein_coding
ENSG00000003056.8	3585	0.0634095683450024	6.02000357442155	1.67568413503317	0.216110266656273	0.284820870243387	M6PR	protein_coding
ENSG00000003096.14	6983	-0.88743351370812	0.324892055952596	13.1245225983343	0.00270465757673988	0.00647528746705595	KLHL13	protein_coding
ENSG00000003137.8	5015	-0.68899711961557	0.979890636457846	12.8151103094677	0.00294729837272237	0.00698654790617302	CYP26B1	protein_coding
ENSG00000003147.19	4883	0.0650915639536623	3.03078386128499	0.314904346063967	0.583415179285786	0.651975603035074	ICA1	protein_coding
ENSG00000003249.14	4700	0.468334665231358	3.37570701646973	28.7495371374547	9.48134695739762e-05	0.000365358451111871	DBNDD1	protein_coding
ENSG00000003393.15	10438	0.167913843097953	5.23766220577724	11.8954471124219	0.00383002548400717	0.0087619190896041	ALS2	protein_coding
ENSG00000003400.15	7581	-0.58214218086414	3.27001644967819	34.4984267767472	3.78956534767265e-05	0.000168611317877797	CASP10	protein_coding
ENSG00000003402.20	22479	0.615187736615565	6.74538462690423	66.9894732170813	9.36772112695705e-07	7.7877651049611e-06	CFLAR	protein_coding
ENSG00000003436.16	11714	0.826849092074923	0.49300525157498	8.33236909937009	0.0117934268523208	0.0232270542413504	TFPI	protein_coding
ENSG00000003509.16	3651	-0.066912370197955	3.43186036419491	0.784445664922556	0.390505759015184	0.467708420376544	NDUFAF7	protein_coding
ENSG00000003756.17	10357	-0.0790973004466003	5.24090448469843	1.56181128604516	0.231563156911161	0.301698786105825	RBM5	protein_coding
ENSG00000003987.14	6928	0.29075616754601	2.00559385587012	7.98948577766749	0.0132855274240737	0.0257490190934027	MTMR7	protein_coding
ENSG00000003989.18	7905	-0.308203855308113	0.332996191123377	1.44081510341131	0.249608169394036	0.321557309130676	SLC7A2	protein_coding
ENSG00000004059.11	1825	-0.0649839314127611	6.51480099252965	0.817322246529622	0.381013964571365	0.457867990890562	ARF5	protein_coding
ENSG00000004139.14	11105	-0.426142999198231	2.77845724475099	12.1733581688315	0.00353469992209608	0.00817201780906212	SARM1	protein_coding
ENSG00000004142.12	2670	0.0328146396762621	6.80664541715657	0.572513921771064	0.461605373492086	0.536710621147725	POLDIP2	protein_coding
ENSG00000004399.13	9557	0.423849008859692	0.92055296181365	6.81919288789361	0.0203058204920735	0.0372356070945566	PLXND1	protein_coding
ENSG00000004455.17	9625	-0.36186918510284	6.43087254553321	52.8243077408006	3.73600980061183e-06	2.44510437931757e-05	AK2	protein_coding
ENSG00000004478.8	5163	0.0755694626017498	7.02066192214355	2.2533888279494	0.155181316265319	0.214799468740752	FKBP4	protein_coding
ENSG00000004487.17	5440	-0.373628358824374	6.06075549656386	42.3717197371682	1.27500021138209e-05	6.74222807022982e-05	KDM1A	protein_coding
ENSG00000004534.15	7299	-0.214195284413081	5.19039982318603	9.50311563573203	0.00797649433116327	0.0165588565466323	RBM6	protein_coding
